yr,mo,month_name,total_income,total_expense,net_savings
2018,1,January,0.00,0.00,0.00
2018,2,February,0.00,0.00,0.00
2018,3,March,0.00,0.00,0.00
2018,4,April,0.00,0.00,0.00
2018,5,May,0.00,0.00,0.00
2018,6,June,0.00,0.00,0.00
2018,7,July,0.00,0.00,0.00
2018,8,August,0.00,0.00,0.00
2018,9,September,0.00,0.00,0.00
2018,10,October,0.00,0.00,0.00
2018,11,November,0.00,0.00,0.00
2018,12,December,0.00,0.00,0.00
2019,1,January,0.00,0.00,0.00
2019,2,February,0.00,0.00,0.00
2019,3,March,0.00,0.00,0.00
2019,4,April,0.00,0.00,0.00
2019,5,May,0.00,0.00,0.00
2019,6,June,0.00,0.00,0.00
2019,7,July,0.00,0.00,0.00
2019,8,August,0.00,0.00,0.00
2019,9,September,0.00,0.00,0.00
